ReferenceID	PublicationType	FullReference	PrimaryTitle	SecondaryTitle	ISSN	Volume	Issue	Pages	PageStart	PageEnd	DateCreated	AuthorList	EditList	URI	DOI	HANDLE	PMID	ISBN10	ISBN13	OCLC
6f3b1de264f864e50e02c9c97a233851	article		A new genus for Ione indecora Markham, 1988, a second record for that species, and a new congeneric species from Australia (Crustacea: Isopoda: Bopyridae: Ioninae)	American Museum Novitates	0003-0082	3258		1-7	1	7	1999					2246/3096				
9c2dffa2fb80aaf287f64239f3f24fee	article		A new species of Albunione Markham & Boyko, 1999 (Crustacea: Isopoda: Bopyridae: Pseudioninae) from Taiwan	American Museum Novitates	0003-0082	3410		1-7	1	7	2003	Markham, John C;Boyko, Christopher B			10.1206/0003-0082(2003)410<0001:ANSOAM>2.0.CO;2	2246/2836				
3874e35362a549933a2169001eb4e53f	article		A new species of Entophilus Richardson, 1903 (Isopoda: Bopyridae: Entophilinae) from the Gulf of Aqaba, Jordan	Journal of Crustacean Biology	0278-0372	25	3	413-419	413	419	2005	Dworschak, Peter C;Markham, John C			10.1651/C-2566					
16cfd32d554be8585ac556f6d8a3fb77	article		Reconocimiento faunistico del'areo de los fiordos Toro y Condor, isla Riesco, Magallanes	Anales Inst Patagonia		1	1	41-59	41	59	1970									
2cf55f4cded64a7732c41d7364acc1e7	article		Descripcion de una nueva subespecie de >tordo >, Curaeus curaeus securvirastris, subsp. nov	Anales Inst Patagonia		2		158-159	158	159	1971									
8af5c0fe9bd7a4a5d622d20e65d224a6	article		Six new species of bopyrid isopods parasitic on galatheid crabs of the genus Munida in the western Atlantic	Bulletin Mar Sci	0007-4977	23	3	613-648	613	648	1973			http://www.ingentaconnect.com/content/umrsmas/bullmar/1973/00000023/00000003/art00012						
2da1f13d745f8fc2f0c1495915cb576e	article		Parasitic bopyrid isopods of the amphi-American genus Stegophryxus Thompson with the description of a new species from California	Bulletin of the Southern California Academy of Sciences	0038-3872	73	1	33-41	33	41	1974			http://biostor.org/reference/104008						
1833bb6e9eb6ffd04b1b19b2624abf11	article		A new species of Pleurocrypta (lsopoda, Bopyridae). the first known from the western Atlantic	Crustaceana	0011-216X	26	3	267-272	267	272	1974	Markham, John C			10.1163/156854074X00668					
cf4c72e964de71d3d62505dc798fa15e	article		Biological results of the University of Miami deep-sea expeditions. 113. A review of the bapyrid isopod genus Munidion Hansen, 1897, parasitic on galatheid crabs in the Atlantic and Pacific Oceans	Bulletin Mar Sci	0007-4977	25	3	422-441	422	441	1975									
f03547e7e51af1db5427648ad1cb8637	article		New records of two species of parasitic isopods of the bopyrid subfamily Ioninae in the western Atlantic	Crustaceana	0011-216X	29	1	55-67	55	67	1975	Markham, John C			10.1163/156854075X00054					
520ee5cf00dad5511080aecdcd91b984	article		Two new species of Asymmetrione (lsopoda, Bopyridae) from the western Atlantic	Crustaceana	0011-216X	29	3	255-265	255	265	1975	Markham, John C			10.1163/156854075X00306					
28e0aa94d637319ddbeb633306d9ea8c	article		The status and systematic position of the species of the bopyrid isopod genus Phyllodurus Stimpson, 1857	Proceedings of the Biological Society of Washington	0006-324X	90	4	813-818	813	818	1977			http://biostor.org/reference/101691						
d259ae7012268d8b4bd21c3c73bc8d48	article		Description of a new Western Atlantic species of Argeia Dana with a proposed new subfamily for this and related genera (Crustacea Isopoda, Bopyridae)	Zoologische Meded Leiden	0024-0672	52	9	109-123	109	123	1977	Markham, J C		http://www.repository.naturalis.nl/record/319237						
993d32989fc358a3d991aeee19ea0a7e	article		A new genus and species of bopyrid isopod parasitic on the western Atlantic porcellanid Pachycheles ackelianus A. Milne Edwards	Proceedings of the Biological Society of Washington	0006-324X	91	2	483-489	483	489	1978	Markham, J C		http://biostor.org/reference/66729						
a9c2eeb876d37b1794d1b9f71b97d322	article		Bopyrid isopods parasitizing hermit crabs in the northwestern Atlantic Ocean	Bulletin of Marine Science	0007-4977	28	1	102-117	102	117	1978	Markham, J C		http://www.ingentaconnect.com/content/umrsmas/bullmar/1978/00000028/00000001/art00006						
bb79e8c4f8f9d219f93e6195c0f264fd	article		Pontobopyrus abyssorum New genus New species Of Bopyrid Isopod Infesting The Crangonid Shrimp Pontophilus abyssi In Deep Water Of The Northwestern Atlantic Ocean	Proceedings of the Biological Society of Washington	0006-324X	92	4	769-772	769	772	1979	Markham, J C		http://biostor.org/reference/81309						
8b26db947f950f1bb1b3c70627ccfc0b	article		A new species of Dicropleon and new records of three other species of bopyrid isopods from the Indian Ocean	Bulletin of Marine Science	0007-4977	30	3	623-633	623	633	1980	Markham, John C		http://www.ingentaconnect.com/content/umrsmas/bullmar/1980/00000030/00000003/art00008						
e312c4693f509ef4455fc7b9d01f1b53	article		Bopyrid isopods parasitic on decapod cructaceans in Hong Kong and southern China	Proceedings of the International Marine Biological Workshop		1	1	325-391	325	391	1982									
